دوره زمانی,sc,استخراج نفت,,,,پلایشگاه,,,,,,
,15,66.000,44.000,6.000,5031.000,84.000,45.000,19.000,6087.510,352.170,25.000,138815.000
,16,30.000,38.000,9.000,4636.000,56.000,29.000,7.000,5609.560,324.520,24.000,113801.000
,17,38.000,19.000,16.000,2945.000,69.000,36.000,5.000,3563.450,206.150,21.000,147630.000
,18,96.000,42.000,9.000,2508.000,57.000,12.000,15.000,3034.680,175.560,25.000,134556.000
,19,36.000,21.000,16.000,3546.000,74.000,22.000,13.000,4290.660,248.220,22.000,133273.000
,20,87.000,28.000,17.000,5004.000,28.000,33.000,15.000,6054.840,350.280,20.000,149907.000
,21,40.000,30.000,13.000,2739.000,17.000,23.000,6.000,3314.190,191.730,21.000,121958.000
,22,79.000,9.000,10.000,5285.000,83.000,18.000,7.000,6394.850,369.950,23.000,148593.000
,23,59.000,45.000,17.000,6227.000,82.000,16.000,14.000,7534.670,435.890,24.000,129983.000
,24,20.000,11.000,6.000,3345.000,84.000,25.000,15.000,4047.450,234.150,24.000,112021.000
,25,60.000,40.000,17.000,5098.000,69.000,14.000,9.000,6168.580,356.860,25.000,140496.000
,26,21.000,18.000,10.000,5078.000,45.000,14.000,12.000,6144.380,355.460,26.000,136926.000
,27,91.000,16.000,19.000,3171.000,84.000,45.000,15.000,3836.910,221.970,24.000,116356.000
,28,82.000,33.000,8.000,5441.000,72.000,42.000,5.000,6583.610,380.870,28.000,143337.000
2,1,72.270,26.730,18.810,4217.400,97.020,23.760,13.860,5103.054,295.218,24.750,117739.710
,2,61.380,38.610,9.900,3171.960,81.180,13.860,15.840,3838.072,222.037,35.640,133021.350
,3,90.090,29.700,9.900,3937.230,43.560,27.720,12.870,4764.048,275.606,20.790,143990.550
,4,91.080,44.550,14.850,4934.160,58.410,12.870,16.830,5970.334,345.391,18.810,135796.320
,5,25.740,40.590,5.940,5641.020,35.640,25.740,15.840,6825.634,394.871,21.780,121401.720
,6,32.670,40.590,15.840,3685.770,68.310,38.610,10.890,4459.782,258.004,23.760,110865.150
,7,37.620,35.640,7.920,6752.790,39.600,41.580,14.850,8170.876,472.695,27.720,99561.330
,8,43.560,21.780,16.830,2655.180,65.340,36.630,6.930,3212.768,185.863,23.760,144234.090
,9,89.100,19.800,6.930,3013.560,90.090,13.860,11.880,3646.408,210.949,19.800,94727.160
,10,39.600,42.570,4.950,5826.150,75.240,11.880,8.910,7049.642,407.831,19.800,132943.140
,11,59.400,19.800,6.930,3901.590,29.700,37.620,18.810,4720.924,273.111,28.710,117733.770
,12,91.080,17.820,7.920,4415.400,70.290,13.860,9.900,5342.634,309.078,24.750,136754.640
,13,19.800,20.790,14.850,5693.490,59.400,20.790,16.830,6889.123,398.544,30.690,104495.490
,14,39.600,43.560,16.830,2757.150,32.670,15.840,5.940,3336.152,193.001,31.680,118098.090
,15,65.340,43.560,5.940,4980.690,83.160,44.550,18.810,6026.635,348.648,24.750,137426.850
,16,29.700,37.620,8.910,4589.640,55.440,28.710,6.930,5553.464,321.275,23.760,112662.990
,17,37.620,18.810,15.840,2915.550,68.310,35.640,4.950,3527.816,204.089,20.790,146153.700
,18,95.040,41.580,8.910,2482.920,56.430,11.880,14.850,3004.333,173.804,24.750,133210.440
,19,35.640,20.790,15.840,3510.540,73.260,21.780,12.870,4247.753,245.738,21.780,131940.270
,20,86.130,27.720,16.830,4953.960,27.720,32.670,14.850,5994.292,346.777,19.800,148407.930
,21,39.600,29.700,12.870,2711.610,16.830,22.770,5.940,3281.048,189.813,20.790,120738.420
,22,78.210,8.910,9.900,5232.150,82.170,17.820,6.930,6330.902,366.251,22.770,147107.070
,23,58.410,44.550,16.830,6164.730,81.180,15.840,13.860,7459.323,431.531,23.760,128683.170
,24,19.800,10.890,5.940,3311.550,83.160,24.750,14.850,4006.976,231.809,23.760,110900.790
,25,59.400,39.600,16.830,5047.020,68.310,13.860,8.910,6106.894,353.291,24.750,139091.040
,26,20.790,17.820,9.900,5027.220,44.550,13.860,11.880,6082.936,351.905,25.740,135556.740
,27,90.090,15.840,18.810,3139.290,83.160,44.550,14.850,3798.541,219.750,23.760,115192.440
,28,81.180,32.670,7.920,5386.590,71.280,41.580,4.950,6517.774,377.061,27.720,141903.630
3,1,71.547,26.463,18.622,4175.226,96.050,23.522,13.721,5052.023,292.266,24.503,116562.313
,2,60.766,38.224,9.801,3140.240,80.368,13.721,15.682,3799.691,219.817,35.284,131691.137
,3,89.189,29.403,9.801,3897.858,43.124,27.443,12.741,4716.408,272.850,20.582,142550.645
,4,90.169,44.105,14.702,4884.818,57.826,12.741,16.662,5910.630,341.937,18.622,134438.357
,5,25.483,40.184,5.881,5584.610,35.284,25.483,15.682,6757.378,390.923,21.562,120187.703
,6,32.343,40.184,15.682,3648.912,67.627,38.224,10.781,4415.184,255.424,23.522,109756.499
,7,37.244,35.284,7.841,6685.262,39.204,41.164,14.702,8089.167,467.968,27.443,98565.717
,8,43.124,21.562,16.662,2628.628,64.687,36.264,6.861,3180.640,184.004,23.522,142791.749
,9,88.209,19.602,6.861,2983.424,89.189,13.721,11.761,3609.944,208.840,19.602,93779.888
,10,39.204,42.144,4.901,5767.889,74.488,11.761,8.821,6979.145,403.752,19.602,131613.709
,11,58.806,19.602,6.861,3862.574,29.403,37.244,18.622,4673.715,270.380,28.423,116556.432
,12,90.169,17.642,7.841,4371.246,69.587,13.721,9.801,5289.208,305.987,24.503,135387.094
,13,19.602,20.582,14.702,5636.555,58.806,20.582,16.662,6820.232,394.559,30.383,103450.535
,14,39.204,43.124,16.662,2729.579,32.343,15.682,5.881,3302.790,191.070,31.363,116917.109
,15,64.687,43.124,5.881,4930.883,82.328,44.105,18.622,5966.369,345.162,24.503,136052.582
,16,29.403,37.244,8.821,4543.744,54.886,28.423,6.861,5497.930,318.062,23.522,111536.360
,17,37.244,18.622,15.682,2886.395,67.627,35.284,4.901,3492.537,202.048,20.582,144692.163
,18,94.090,41.164,8.821,2458.091,55.866,11.761,14.702,2974.290,172.066,24.503,131878.336
,19,35.284,20.582,15.682,3475.435,72.527,21.562,12.741,4205.276,243.280,21.562,130620.867
,20,85.269,27.443,16.662,4904.420,27.443,32.343,14.702,5934.349,343.309,19.602,146923.851
,21,39.204,29.403,12.741,2684.494,16.662,22.542,5.881,3248.238,187.915,20.582,119531.036
,22,77.428,8.821,9.801,5179.829,81.348,17.642,6.861,6267.592,362.588,22.542,145635.999
,23,57.826,44.105,16.662,6103.083,80.368,15.682,13.721,7384.730,427.216,23.522,127396.338
,24,19.602,10.781,5.881,3278.435,82.328,24.503,14.702,3966.906,229.490,23.522,109791.782
,25,58.806,39.204,16.662,4996.550,67.627,13.721,8.821,6045.825,349.758,24.503,137700.130
,26,20.582,17.642,9.801,4976.948,44.105,13.721,11.761,6022.107,348.386,25.483,134201.173
,27,89.189,15.682,18.622,3107.897,82.328,44.105,14.702,3760.555,217.553,23.522,114040.516
,28,80.368,32.343,7.841,5332.724,70.567,41.164,4.901,6452.596,373.291,27.443,140484.594
4,1,70.116,25.933,18.249,4091.721,94.129,23.052,13.447,4950.983,286.421,24.012,114231.067
,2,59.551,37.459,9.605,3077.436,78.761,13.447,15.368,3723.697,215.420,34.578,129057.314
,3,87.405,28.815,9.605,3819.901,42.262,26.894,12.486,4622.080,267.393,20.170,139699.632
,4,88.366,43.222,14.407,4787.122,56.669,12.486,16.328,5792.418,335.099,18.249,131749.590
,5,24.973,39.380,5.763,5472.918,34.578,24.973,15.368,6622.230,383.104,21.131,117783.949
,6,31.696,39.380,15.368,3575.934,66.274,37.459,10.565,4326.880,250.315,23.052,107561.369
,7,36.499,34.578,7.684,6551.557,38.420,40.341,14.407,7927.384,458.609,26.894,96594.402
,8,42.262,21.131,16.328,2576.056,63.393,35.538,6.723,3117.027,180.324,23.052,139935.914
,9,86.445,19.210,6.723,2923.756,87.405,13.447,11.526,3537.745,204.663,19.210,91904.291
,10,38.420,41.301,4.802,5652.531,72.998,11.526,8.644,6839.562,395.677,19.210,128981.434
,11,57.630,19.210,6.723,3785.323,28.815,36.499,18.249,4580.240,264.973,27.854,114225.304
,12,88.366,17.289,7.684,4283.821,68.195,13.447,9.605,5183.424,299.867,24.012,132679.352
,13,19.210,20.170,14.407,5523.824,57.630,20.170,16.328,6683.827,386.668,29.775,101381.524
,14,38.420,42.262,16.328,2674.987,31.696,15.368,5.763,3236.734,187.249,30.736,114578.767
,15,63.393,42.262,5.763,4832.265,80.682,43.222,18.249,5847.041,338.259,24.012,133331.530
,16,28.815,36.499,8.644,4452.869,53.788,27.854,6.723,5387.971,311.701,23.052,109305.633
,17,36.499,18.249,15.368,2828.667,66.274,34.578,4.802,3422.687,198.007,20.170,141798.320
,18,92.208,40.341,8.644,2408.929,54.748,11.526,14.407,2914.804,168.625,24.012,129240.769
,19,34.578,20.170,15.368,3405.926,71.077,21.131,12.486,4121.170,238.415,21.131,128008.450
,20,83.563,26.894,16.328,4806.332,26.894,31.696,14.407,5815.662,336.443,19.210,143985.374
,21,38.420,28.815,12.486,2630.804,16.328,22.091,5.763,3183.273,184.156,20.170,117140.415
,22,75.879,8.644,9.605,5076.232,79.721,17.289,6.723,6142.241,355.336,22.091,142723.279
,23,56.669,43.222,16.328,5981.021,78.761,15.368,13.447,7237.035,418.671,23.052,124848.412
,24,19.210,10.565,5.763,3212.866,80.682,24.012,14.407,3887.568,224.901,23.052,107595.946
,25,57.630,38.420,16.328,4896.619,66.274,13.447,8.644,5924.909,342.763,24.012,134946.127
,26,20.170,17.289,9.605,4877.409,43.222,13.447,11.526,5901.665,341.419,24.973,131517.149
,27,87.405,15.368,18.249,3045.739,80.682,43.222,14.407,3685.344,213.202,23.052,111759.705
,28,78.761,31.696,7.684,5226.070,69.156,40.341,4.802,6323.544,365.825,26.894,137674.902
5,1,71.540,26.460,18.620,4174.800,96.040,23.520,13.720,5051.508,292.236,24.500,116550.420
,2,60.760,38.220,9.800,3139.920,80.360,13.720,15.680,3799.303,219.794,35.280,131677.700
,3,89.180,29.400,9.800,3897.460,43.120,27.440,12.740,4715.927,272.822,20.580,142536.100
,4,90.160,44.100,14.700,4884.320,57.820,12.740,16.660,5910.027,341.902,18.620,134424.640
,5,25.480,40.180,5.880,5584.040,35.280,25.480,15.680,6756.688,390.883,21.560,120175.440
,6,32.340,40.180,15.680,3648.540,67.620,38.220,10.780,4414.733,255.398,23.520,109745.300
,7,37.240,35.280,7.840,6684.580,39.200,41.160,14.700,8088.342,467.921,27.440,98555.660
,8,43.120,21.560,16.660,2628.360,64.680,36.260,6.860,3180.316,183.985,23.520,142777.180
,9,88.200,19.600,6.860,2983.120,89.180,13.720,11.760,3609.575,208.818,19.600,93770.320
,10,39.200,42.140,4.900,5767.300,74.480,11.760,8.820,6978.433,403.711,19.600,131600.280
,11,58.800,19.600,6.860,3862.180,29.400,37.240,18.620,4673.238,270.353,28.420,116544.540
,12,90.160,17.640,7.840,4370.800,69.580,13.720,9.800,5288.668,305.956,24.500,135373.280
,13,19.600,20.580,14.700,5635.980,58.800,20.580,16.660,6819.536,394.519,30.380,103439.980
,14,39.200,43.120,16.660,2729.300,32.340,15.680,5.880,3302.453,191.051,31.360,116905.180
,15,64.680,43.120,5.880,4930.380,82.320,44.100,18.620,5965.760,345.127,24.500,136038.700
,16,29.400,37.240,8.820,4543.280,54.880,28.420,6.860,5497.369,318.030,23.520,111524.980
,17,37.240,18.620,15.680,2886.100,67.620,35.280,4.900,3492.181,202.027,20.580,144677.400
,18,94.080,41.160,8.820,2457.840,55.860,11.760,14.700,2973.986,172.049,24.500,131864.880
,19,35.280,20.580,15.680,3475.080,72.520,21.560,12.740,4204.847,243.256,21.560,130607.540
,20,85.260,27.440,16.660,4903.920,27.440,32.340,14.700,5933.743,343.274,19.600,146908.860
,21,39.200,29.400,12.740,2684.220,16.660,22.540,5.880,3247.906,187.895,20.580,119518.840
,22,77.420,8.820,9.800,5179.300,81.340,17.640,6.860,6266.953,362.551,22.540,145621.140
,23,57.820,44.100,16.660,6102.460,80.360,15.680,13.720,7383.977,427.172,23.520,127383.340
,24,19.600,10.780,5.880,3278.100,82.320,24.500,14.700,3966.501,229.467,23.520,109780.580
,25,58.800,39.200,16.660,4996.040,67.620,13.720,8.820,6045.208,349.723,24.500,137686.080
,26,20.580,17.640,9.800,4976.440,44.100,13.720,11.760,6021.492,348.351,25.480,134187.480
,27,89.180,15.680,18.620,3107.580,82.320,44.100,14.700,3760.172,217.531,23.520,114028.880
,28,80.360,32.340,7.840,5332.180,70.560,41.160,4.900,6451.938,373.253,27.440,140470.260
6,1,69.394,25.666,18.061,4049.556,93.159,22.814,13.308,4899.963,283.469,23.765,113053.907
,2,58.937,37.073,9.506,3045.722,77.949,13.308,15.210,3685.324,213.201,34.222,127727.369
,3,86.505,28.518,9.506,3780.536,41.826,26.617,12.358,4574.449,264.638,19.963,138260.017
,4,87.455,42.777,14.259,4737.790,56.085,12.358,16.160,5732.726,331.645,18.061,130391.901
,5,24.716,38.975,5.704,5416.519,34.222,24.716,15.210,6553.988,379.156,20.913,116570.177
,6,31.370,38.975,15.210,3539.084,65.591,37.073,10.457,4282.291,247.736,22.814,106452.941
,7,36.123,34.222,7.605,6484.043,38.024,39.925,14.259,7845.692,453.883,26.617,95598.990
,8,41.826,20.913,16.160,2549.509,62.740,35.172,6.654,3084.906,178.466,22.814,138493.865
,9,85.554,19.012,6.654,2893.626,86.505,13.308,11.407,3501.288,202.554,19.012,90957.210
,10,38.024,40.876,4.753,5594.281,72.246,11.407,8.555,6769.080,391.600,19.012,127652.272
,11,57.036,19.012,6.654,3746.315,28.518,36.123,18.061,4533.041,262.242,27.567,113048.204
,12,87.455,17.111,7.605,4239.676,67.493,13.308,9.506,5130.008,296.777,23.765,131312.082
,13,19.012,19.963,14.259,5466.901,57.036,19.963,16.160,6614.950,382.683,29.469,100336.781
,14,38.024,41.826,16.160,2647.421,31.370,15.210,5.704,3203.379,185.319,30.419,113398.025
,15,62.740,41.826,5.704,4782.469,79.850,42.777,18.061,5786.787,334.773,23.765,131957.539
,16,28.518,36.123,8.555,4406.982,53.234,27.567,6.654,5332.448,308.489,22.814,108179.231
,17,36.123,18.061,15.210,2799.517,65.591,34.222,4.753,3387.416,195.966,19.963,140337.078
,18,91.258,39.925,8.555,2384.105,54.184,11.407,14.259,2884.767,166.887,23.765,127908.934
,19,34.222,19.963,15.210,3370.828,70.344,20.913,12.358,4078.701,235.958,20.913,126689.314
,20,82.702,26.617,16.160,4756.802,26.617,31.370,14.259,5755.731,332.976,19.012,142501.594
,21,38.024,28.518,12.358,2603.693,16.160,21.864,5.704,3150.469,182.259,19.963,115933.275
,22,75.097,8.555,9.506,5023.921,78.900,17.111,6.654,6078.944,351.674,21.864,141252.506
,23,56.085,42.777,16.160,5919.386,77.949,15.210,13.308,7162.457,414.357,22.814,123561.840
,24,19.012,10.457,5.704,3179.757,79.850,23.765,14.259,3847.506,222.583,22.814,106487.163
,25,57.036,38.024,16.160,4846.159,65.591,13.308,8.555,5863.852,339.231,23.765,133555.498
,26,19.963,17.111,9.506,4827.147,42.777,13.308,11.407,5840.848,337.900,24.716,130161.856
,27,86.505,15.210,18.061,3014.353,79.850,42.777,14.259,3647.367,211.005,22.814,110608.014
,28,77.949,31.370,7.605,5172.215,68.443,39.925,4.753,6258.380,362.055,26.617,136256.152
7,1,68.700,25.410,17.881,4009.060,92.227,22.586,13.175,4850.963,280.634,23.527,111923.368
,2,58.348,36.703,9.411,3015.265,77.170,13.175,15.058,3648.471,211.069,33.879,126450.095
,3,85.640,28.233,9.411,3742.731,41.408,26.351,12.234,4528.704,261.991,19.763,136877.417
,4,86.581,42.349,14.116,4690.412,55.525,12.234,15.999,5675.399,328.329,17.881,129087.982
,5,24.468,38.585,5.647,5362.354,33.879,24.468,15.058,6488.448,375.365,20.704,115404.475
,6,31.056,38.585,15.058,3503.693,64.935,36.703,10.352,4239.468,245.259,22.586,105388.412
,7,35.762,33.879,7.529,6419.202,37.644,39.526,14.116,7767.235,449.344,26.351,94643.000
,8,41.408,20.704,15.999,2524.014,62.112,34.820,6.588,3054.057,176.681,22.586,137108.926
,9,84.698,18.822,6.588,2864.690,85.640,13.175,11.293,3466.275,200.528,18.822,90047.638
,10,37.644,40.467,4.705,5538.338,71.523,11.293,8.470,6701.389,387.684,18.822,126375.749
,11,56.466,18.822,6.588,3708.851,28.233,35.762,17.881,4487.710,259.620,27.292,111917.722
,12,86.581,16.940,7.529,4197.279,66.818,13.175,9.411,5078.708,293.810,23.527,129998.961
,13,18.822,19.763,14.116,5412.232,56.466,19.763,15.999,6548.800,378.856,29.174,99333.413
,14,37.644,41.408,15.999,2620.947,31.056,15.058,5.647,3171.346,183.466,30.115,112264.044
,15,62.112,41.408,5.647,4734.644,79.052,42.349,17.881,5728.919,331.425,23.527,130637.964
,16,28.233,35.762,8.470,4362.912,52.701,27.292,6.588,5279.123,305.404,22.586,107097.438
,17,35.762,17.881,15.058,2771.522,64.935,33.879,4.705,3353.541,194.007,19.763,138933.707
,18,90.345,39.526,8.470,2360.264,53.642,11.293,14.116,2855.919,165.218,23.527,126629.844
,19,33.879,19.763,15.058,3337.119,69.641,20.704,12.234,4037.914,233.598,20.704,125422.421
,20,81.875,26.351,15.999,4709.234,26.351,31.056,14.116,5698.174,329.646,18.822,141076.578
,21,37.644,28.233,12.234,2577.656,15.999,21.645,5.647,3118.964,180.436,19.763,114773.942
,22,74.346,8.470,9.411,4973.682,78.111,16.940,6.588,6018.155,348.158,21.645,139839.981
,23,55.525,42.349,15.999,5860.192,77.170,15.058,13.175,7090.833,410.213,22.586,122326.221
,24,18.822,10.352,5.647,3147.959,79.052,23.527,14.116,3809.031,220.357,22.586,105422.291
,25,56.466,37.644,15.999,4797.697,64.935,13.175,8.470,5805.214,335.839,23.527,132219.943
,26,19.763,16.940,9.411,4778.875,42.349,13.175,11.293,5782.439,334.521,24.468,128860.237
,27,85.640,15.058,17.881,2984.209,79.052,42.349,14.116,3610.893,208.895,22.586,109501.933
,28,77.170,31.056,7.529,5120.492,67.759,39.526,4.705,6195.796,358.434,26.351,134893.591
8,1,68.013,25.155,17.702,3968.970,91.305,22.360,13.044,4802.454,277.828,23.292,110804.135
,2,57.764,36.336,9.317,2985.113,76.398,13.044,14.907,3611.986,208.958,33.541,125185.594
,3,84.783,27.950,9.317,3705.304,40.994,26.087,12.112,4483.417,259.371,19.565,135508.643
,4,85.715,41.926,13.975,4643.508,54.969,12.112,15.839,5618.645,325.046,17.702,127797.102
,5,24.224,38.199,5.590,5308.730,33.541,24.224,14.907,6423.563,371.611,20.497,114250.430
,6,30.746,38.199,14.907,3468.656,64.286,36.336,10.249,4197.074,242.806,22.360,104334.527
,7,35.404,33.541,7.453,6355.010,37.267,39.131,13.975,7689.562,444.851,26.087,93696.570
,8,40.994,20.497,15.839,2498.774,61.491,34.472,6.522,3023.516,174.914,22.360,135737.837
,9,83.851,18.634,6.522,2836.043,84.783,13.044,11.180,3431.612,198.523,18.634,89147.162
,10,37.267,40.062,4.658,5482.955,70.808,11.180,8.385,6634.375,383.807,18.634,125111.991
,11,55.901,18.634,6.522,3671.763,27.950,35.404,17.702,4442.833,257.023,27.019,110798.545
,12,85.715,16.770,7.453,4155.306,66.149,13.044,9.317,5027.921,290.871,23.292,128698.971
,13,18.634,19.565,13.975,5358.109,55.901,19.565,15.839,6483.312,375.068,28.882,98340.079
,14,37.267,40.994,15.839,2594.737,30.746,14.907,5.590,3139.632,181.632,29.814,111141.404
,15,61.491,40.994,5.590,4687.297,78.261,41.926,17.702,5671.630,328.111,23.292,129331.584
,16,27.950,35.404,8.385,4319.283,52.174,27.019,6.522,5226.332,302.350,22.360,106026.464
,17,35.404,17.702,14.907,2743.807,64.286,33.541,4.658,3320.006,192.066,19.565,137544.370
,18,89.442,39.131,8.385,2336.661,53.106,11.180,13.975,2827.360,163.566,23.292,125363.546
,19,33.541,19.565,14.907,3303.748,68.945,20.497,12.112,3997.535,231.262,20.497,124168.196
,20,81.056,26.087,15.839,4662.142,26.087,30.746,13.975,5641.192,326.350,18.634,139665.812
,21,37.267,27.950,12.112,2551.880,15.839,21.429,5.590,3087.775,178.632,19.565,113626.203
,22,73.603,8.385,9.317,4923.945,77.330,16.770,6.522,5957.973,344.676,21.429,138441.581
,23,54.969,41.926,15.839,5801.590,76.398,14.907,13.044,7019.924,406.111,22.360,121102.959
,24,18.634,10.249,5.590,3116.480,78.261,23.292,13.975,3770.941,218.154,22.360,104368.068
,25,55.901,37.267,15.839,4749.720,64.286,13.044,8.385,5747.161,332.480,23.292,130897.743
,26,19.565,16.770,9.317,4731.087,41.926,13.044,11.180,5724.615,331.176,24.224,127571.635
,27,84.783,14.907,17.702,2954.367,78.261,41.926,13.975,3574.784,206.806,22.360,108406.914
,28,76.398,30.746,7.453,5069.288,67.081,39.131,4.658,6133.838,354.850,26.087,133544.655
9,1,67.333,24.904,17.525,3929.280,90.392,22.137,12.913,4754.429,275.050,23.059,109696.093
,2,57.187,35.972,9.224,2955.261,75.634,12.913,14.758,3575.866,206.868,33.205,123933.738
,3,83.935,27.671,9.224,3668.250,40.584,25.826,11.991,4438.583,256.778,19.370,134153.556
,4,84.858,41.506,13.835,4597.073,54.420,11.991,15.680,5562.459,321.795,17.525,126519.131
,5,23.982,37.817,5.534,5255.643,33.205,23.982,14.758,6359.328,367.895,20.292,113107.926
,6,30.438,37.817,14.758,3433.969,63.643,35.972,10.146,4155.103,240.378,22.137,103291.182
,7,35.050,33.205,7.379,6291.460,36.895,38.739,13.835,7612.667,440.402,25.826,92759.605
,8,40.584,20.292,15.680,2473.786,60.876,34.128,6.457,2993.281,173.165,22.137,134380.458
,9,83.013,18.447,6.457,2807.683,83.935,12.913,11.068,3397.296,196.538,18.447,88255.690
,10,36.895,39.662,4.612,5428.125,70.100,11.068,8.301,6568.032,379.969,18.447,123860.871
,11,55.342,18.447,6.457,3635.045,27.671,35.050,17.525,4398.405,254.453,26.749,109690.559
,12,84.858,16.603,7.379,4113.753,65.488,12.913,9.224,4977.642,287.963,23.059,127411.981
,13,18.447,19.370,13.835,5304.528,55.342,19.370,15.680,6418.479,371.317,28.593,97356.678
,14,36.895,40.584,15.680,2568.790,30.438,14.758,5.534,3108.236,179.815,29.516,110029.990
,15,60.876,40.584,5.534,4640.425,77.479,41.506,17.525,5614.914,324.830,23.059,128038.268
,16,27.671,35.050,8.301,4276.090,51.653,26.749,6.457,5174.069,299.326,22.137,104966.199
,17,35.050,17.525,14.758,2716.369,63.643,33.205,4.612,3286.806,190.146,19.370,136168.926
,18,88.547,38.739,8.301,2313.295,52.575,11.068,13.835,2799.086,161.931,23.059,124109.910
,19,33.205,19.370,14.758,3270.711,68.255,20.292,11.991,3957.560,228.950,20.292,122926.514
,20,80.246,25.826,15.680,4615.521,25.826,30.438,13.835,5584.780,323.086,18.447,138269.154
,21,36.895,27.671,11.991,2526.361,15.680,21.214,5.534,3056.897,176.845,19.370,112489.941
,22,72.867,8.301,9.224,4874.706,76.556,16.603,6.457,5898.394,341.229,21.214,137057.165
,23,54.420,41.506,15.680,5743.575,75.634,14.758,12.913,6949.725,402.050,22.137,119891.930
,24,18.447,10.146,5.534,3085.315,77.479,23.059,13.835,3733.231,215.972,22.137,103324.387
,25,55.342,36.895,15.680,4702.223,63.643,12.913,8.301,5689.690,329.156,23.059,129588.766
,26,19.370,16.603,9.224,4683.776,41.506,12.913,11.068,5667.369,327.864,23.982,126295.918
,27,83.935,14.758,17.525,2924.823,77.479,41.506,13.835,3539.036,204.738,22.137,107322.845
,28,75.634,30.438,7.379,5018.595,66.410,38.739,4.612,6072.500,351.302,25.826,132209.208
10,1,65.986,24.406,17.174,3850.695,88.584,21.694,12.655,4659.340,269.549,22.598,107502.171
,2,56.043,35.253,9.039,2896.156,74.121,12.655,14.463,3504.349,202.731,32.541,121455.064
,3,82.257,27.118,9.039,3594.885,39.772,25.310,11.751,4349.811,251.642,18.982,131470.485
,4,83.161,40.676,13.559,4505.132,53.331,11.751,15.367,5451.210,315.359,17.174,123988.748
,5,23.502,37.061,5.424,5150.530,32.541,23.502,14.463,6232.141,360.537,19.886,110845.767
,6,29.829,37.061,14.463,3365.290,62.370,35.253,9.943,4072.001,235.570,21.694,101225.359
,7,34.349,32.541,7.231,6165.631,36.157,37.965,13.559,7460.413,431.594,25.310,90904.413
,8,39.772,19.886,15.367,2424.311,59.659,33.445,6.327,2933.416,169.702,21.694,131692.849
,9,81.353,18.078,6.327,2751.529,82.257,12.655,10.847,3329.350,192.607,18.078,86490.576
,10,36.157,38.869,4.520,5319.563,68.698,10.847,8.135,6436.671,372.369,18.078,121383.654
,11,54.235,18.078,6.327,3562.344,27.118,34.349,17.174,4310.437,249.364,26.214,107496.748
,12,83.161,16.271,7.231,4031.478,64.178,12.655,9.039,4878.089,282.203,22.598,124863.742
,13,18.078,18.982,13.559,5198.438,54.235,18.982,15.367,6290.110,363.891,28.021,95409.544
,14,36.157,39.772,15.367,2517.414,29.829,14.463,5.424,3046.071,176.219,28.925,107829.390
,15,59.659,39.772,5.424,4547.616,75.929,40.676,17.174,5502.615,318.333,22.598,125477.503
,16,27.118,34.349,8.135,4190.568,50.619,26.214,6.327,5070.587,293.340,21.694,102866.875
,17,34.349,17.174,14.463,2662.041,62.370,32.541,4.520,3221.070,186.343,18.982,133445.548
,18,86.776,37.965,8.135,2267.029,51.523,10.847,13.559,2743.105,158.692,22.598,121627.712
,19,32.541,18.982,14.463,3205.296,66.890,19.886,11.751,3878.409,224.371,19.886,120467.984
,20,78.641,25.310,15.367,4523.210,25.310,29.829,13.559,5473.084,316.625,18.078,135503.771
,21,36.157,27.118,11.751,2475.834,15.367,20.790,5.424,2995.759,173.308,18.982,110240.142
